attempt_number,year,nickname,date_raw,date_start,date_end,description,participant_registers
1,,- Headstrong,"April 27, 1936",1936-04-27,1936-04-27,"While working his job burning trash at the incinerator, Joe Bowers began climbing up and over the chain link fence at the island's edge. After refusing orders to climb back down, Bowers was shot by a correctional officer stationed in the West road guard tower, then fell about 50-100 feet to the shore below. He died from his injuries.",210
2,,- Storm is Brewing,"December 16, 1937",1937-12-16,1937-12-16,"Theodore Cole and Ralph Roe worked in the mat shop in the model industries building. Over a period of time, while working in the mat shop in the model industries building, they filed their way through the flat iron bars on a window. After climbing through the window, they made their way down to the water's edge and disappeared into San Francisco Bay. This attempt occurred during a bad storm and the Bay's currents were especially fast and strong - most people believe Roe and Cole were swept out to sea. Officially, they are listed missing and presumed dead.",258|260
3,,- Workshop attack,"May 23, 1938",1938-05-23,1938-05-23,"While at work in the woodworking shop in the model industries building, James Limerick, Jimmy Lucas, and Rufus Franklin attacked unarmed correctional officer Royal Cline with a hammer (Cline died from his injuries). The three then climbed to the roof in an attempt to disarm the correctional officer in the roof tower. The officer, Harold Stites, shot Limerick and Franklin. Limerick died from his injuries. Lucas and Franklin received life sentences for Cline's murder.",224|335
4,,- The failed five,"January 13, 1939",1939-01-13,1939-01-13,"Arthur ""Doc"" Barker, Dale Stamphill, William Martin, Henry Young, and Rufus McCain escaped from the isolation unit in the cellhouse by sawing through the flat iron cell bars and bending tool-proof bars on a window. They then made their way down to the water's edge. Correctional officers found the men at the shoreline on the west side of the island. Martin, Young, and McCain surrendered, while Barker and Stamphill were shot when they refused to surrender. Barker died from his injuries.",244|267|268|370|435|1308
5,,- Using the force,"May 21, 1941",1941-05-21,1941-05-21,"Joe Cretzer, Sam Shockley, Arnold Kyle, and Lloyd Barkdoll took several correctional officers hostage while working in the industries area. The officers, including Paul Madigan (who later became Alcatraz's third warden), were able to convince the four that they could not escape and they surrendered.",423|462|547|548
6,,- Cold as ice,"September 15, 1941",1941-09-15,1941-09-15,"While on garbage detail, John Bayless attempted to escape. He gave up shortly after entering the cold water of San Francisco Bay. Later, while appearing in Federal court in San Francisco, Bayless tried, again unsuccessfully, to escape from the courtroom.",466|966
7,,- Spidermen,"April 14, 1943",1943-04-14,1943-04-14,"James Boarman, Harold Brest, Floyd Hamilton, and Fred Hunter took two officers hostage while at work in the industries area. The four climbed out a window and made their way down to the water's edge. One of the hostages was able to alert other officers to the escape and shots were fired at Boarman, Brest, and Hamilton, who were swimming away from the island. Hunter and Brest were both apprehended. Boarman was hit by gunfire and sank below the water before officers were able to reach him; his body was never recovered. Hamilton was initially presumed drowned. However, after hiding out for two days in a small shoreline cave, Hamilton made his way back up to the industries area, where he was discovered by correctional officers.",380|402|487|523|571
8,,- Missing Sock,"August 7, 1943",1943-08-07,1943-08-07,"Huron ""Ted"" Walters disappeared from the prison laundry building. He was caught at the shoreline, before he could even attempt to enter San Francisco Bay.",536
9,,- Uncle Sam,"July 31, 1945",1945-07-31,1945-07-31,"In one of the most ingenious attempts, John Giles was able to take advantage of his job working at the loading dock, where he unloaded army laundry sent to the island to be cleaned - over time, he stole an entire army uniform. Dressed in the uniform, Giles calmly walked aboard an army launch to what he thought was freedom. He was discovered missing almost immediately. Unfortunately for Giles, the launch was headed for Angel Island, not San Francisco as Giles hoped. As Giles set foot on Angel Island, he was met by correctional officers who returned him to Alcatraz.",250
10,,- Battle of Alcatraz,"May 2-4, 1946",1946-05-02,1946-05-04,"4, 1946 -- During this incident, known as the ""Battle of Alcatraz"" and the ""Alcatraz Blastout,"" six prisoners were able to overpower cellhouse officers and gain access to weapons and cellhouse keys, in effect taking control of the cellhouse. Their plan began to fall apart when the inmates found they did not have the key to unlock the recreation yard door. Shortly thereafter, prison officials discovered the escape attempt. Instead of giving up, Bernard Coy, Joe Cretzer, Marvin Hubbard, Sam Shockley, Miran Thompson, and Clarence Carnes decided to fight. Eventually Shockley, Thompson, and Carnes returned to their cells, but not before the officers taken hostage were shot at point-blank range by Cretzer (encouraged by Shockley and Thompson). One officer, William Miller, died from his injuries. A second officer, Harold Stites (who stopped the third escape attempt), was shot and killed attempting to regain control of the cellhouse. About 18 officers were injured during the escape attempt. The U.S. Marines were eventually called out to assist, and on May 4, the escape attempt ended with the discovery of the bodies of Coy, Cretzer, and Hubbard. Shockley, Thompson, and Carnes stood trial for the death of the officers; Shockley and Thompson received the death penalty and were executed in the gas chamber at San Quentin in December 1948. Carnes, age 19, received a second life sentence.",415|462|548|645|714|729
11,,- Docked,"July 23, 1956",1956-07-23,1956-07-23,"Floyd Wilson disappeared from his job at the dock. After hiding for several hours among large rocks along the shoreline, he was discovered and surrendered.",956
12,,- Backstroke,"September 29, 1958",1958-09-29,1958-09-29,"While working on the garbage detail, Aaron Burgett and Clyde Johnson overpowered a correctional officer and attempted to swim from the island. Johnson was caught in the water, but Burgett disappeared. An intensive search turned up nothing. Burgett's body was found floating in the Bay two weeks later.",864|991
13,,- Hollywood,"June 11, 1962",1962-06-11,1962-06-11,"Made famous by Clint Eastwood in the movie Escape from Alcatraz, Frank Morris and brothers John and Clarence Anglin vanished from their cells and were never seen again. A fourth man, Allen West, believed by some people to have been the mastermind, was also involved; however, he was still in his cell the next morning when the escape was discovered. An investigation revealed an intricate escape plot that involved homemade drills to enlarge vent holes, false wall segments, and realistic dummy heads (complete with human hair) placed in the beds so the inmates would not be missed during nighttime counts. The three men exited through vent holes located in the rear wall of their cell - they had enlarged the vent holes and made false vent/wall segments to conceal their work. Behind the rear wall of the cells is a utility corridor that had locked steel doors at either end. The three men climbed the utility pipes to the top of the cellblock, and gained access to the roof through an air vent (the men had previously bent the iron bars that blocked the air vent). They then climbed down a drainpipe on the northern end of the cellhouse and made their way to the water. It is believed they left from the northeast side of the island near the powerhouse/quartermaster building. They used prison-issued raincoats to make crude life vests and a pontoon-type raft to assist in their swim. A cellhouse search turned up the drills, heads, wall segments, and other tools, while the water search found two life vests (one in the bay, the other outside the Golden Gate), oars, and letters and photographs belonging to the Anglins that had been carefully wrapped to be watertight. But no sign of the men was found. Several weeks later, a man's body dressed in blue clothing similar to the prison uniform was found a short distance up the coast from San Francisco, but the body was too badly deteriorated to be identified. Morris and the Anglins are officially listed as missing and presumed drowned.",1130|1335|1441|1476|1485
14,,- A dish best served cold,"December 16, 1962",1962-12-16,1962-12-16,"John Paul Scott and Darl Parker bent the bars of a kitchen window in the cellhouse basement, climbed out, and made their way down to the water. Parker was discovered on a small outcropping of rock a short distance from the island. Scott attempted to swim towards San Francisco, but the currents began pulling him out to sea. He was found by several teenagers on the rocks near Fort Point (beneath the Golden Gate Bridge) and was taken to the military hospital at the Presidio Army base suffering from shock and hypothermia, before being returned to Alcatraz.",1403|1413
